Kutay Tire
22001787 Sec03

Output:

Random BST size vs. height (Insertion)
--------------------------------------
101 13
201 15
301 17
401 17
498 18
596 19
695 20
795 21
890 22
987 22
1083 22
1183 22
1282 22
1378 22
1471 23
1565 24
1660 25
1758 25
1852 25
1946 26
2039 26
2133 26
2225 26
2318 26
2410 26
2506 26
2602 26
2696 26
2788 26
2882 26
2975 26
3064 26
3150 26
3242 26
3331 26
3421 26
3513 26
3599 26
3686 26
3777 27
3865 27
3951 27
4043 27
4129 27
4210 27
4292 27
4374 28
4457 28
4539 28
4632 28
4712 28
4799 28
4881 28
4971 28
5049 28
5133 28
5217 28
5303 28
5391 28
5470 28
5554 28
5639 28
5723 28
5805 28
5885 28
5968 28
6051 28
6138 28
6217 28
6303 28
6384 28
6467 28
6552 28
6632 28
6709 28
6787 28
6870 28
6948 28
7027 29
7111 29
7191 29
7265 29
7342 29
7420 29
7497 29
7571 29
7652 29
7725 29
7799 29
7877 29
7960 29
8031 29
8107 29
8188 29
8264 29
8336 29
8413 29
8484 29
8547 29
Random BST size vs. height (Deletion)
--------------------------------------
8620 29
8520 29
8420 29
8320 29
8220 29
8123 29
8025 29
7926 29
7826 29
7731 29
7634 29
7538 28
7438 28
7339 28
7243 28
7150 28
7056 28
6961 28
6863 27
6769 27
6675 27
6582 27
6488 27
6396 27
6303 27
6211 26
6115 26
6019 26
5925 26
5833 26
5739 26
5646 26
5557 26
5471 26
5379 26
5290 26
5200 26
5108 25
5022 25
4935 25
4844 25
4756 25
4670 25
4578 25
4492 25
4411 25
4329 25
4247 25
4164 25
4082 25
3989 25
3909 25
3822 25
3740 25
3650 25
3572 25
3488 25
3404 25
3318 25
3230 25
3151 25
3067 25
2982 25
2898 25
2816 25
2736 25
2653 25
2570 24
2483 24
2404 24
2318 24
2237 24
2154 24
2069 24
1989 24
1912 24
1834 24
1751 23
1673 22
1594 22
1510 22
1430 22
1356 22
1279 22
1201 21
1124 21
1050 20
969 20
896 20
822 20
744 20
661 19
590 18
514 18
433 18
357 17
285 17
208 16
137 15
74 12
